genus	id
Knoellia	UP000029990_1385518.fasta
Kocuria	UP000008838_378753.fasta
Komagataeibacter	UP000006468_714995.fasta
Kordia	UP000002945_391587.fasta
Koribacter	UP000002432_204669.fasta
Kosmotoga	UP000002382_521045.fasta
Kouleothrix	UP000050509_186479.fasta
Kozakia	UP000179145_153496.fasta
Kribbella	UP000007967_479435.fasta
Ktedonobacter	UP000004508_485913.fasta
Kurthia	UP000058129_1750719.fasta
Kutzneria	UP000019225_1449976.fasta
Kyrpidia	UP000002368_562970.fasta
Kytococcus	UP000006666_478801.fasta
Labilithrix	UP000064967_1391654.fasta
Labrenzia	UP000004703_244592.fasta
Lachnoanaerobaculum	UP000006599_936594.fasta
Lachnoclostridium	UP000000370_357809.fasta
Lacimicrobium	UP000068447_1526571.fasta
Lacinutrix	UP000008297_983544.fasta
Lactobacillus	UP000000432_220668.fasta
Lactococcus	UP000002196_272623.fasta
Lactonifactor	UP000184245_1122155.fasta
Lacunisphaera	UP000095228_1838286.fasta
Lampropedia	UP000050580_1610491.fasta
Laribacter	UP000002010_557598.fasta
Lautropia	UP000011021_887898.fasta
Lawsonella	UP000068137_1528099.fasta
Lawsonia	UP000002430_363253.fasta
Leadbetterella	UP000007435_649349.fasta
Lechevalieria	UP000033393_68170.fasta
Leeuwenhoekiella	UP000001601_398720.fasta
Legionella	UP000000609_272624.fasta
Leifsonia	UP000001306_281090.fasta
Leisingera	UP000018780_999552.fasta
Leminorella	UP000028624_1005999.fasta
Lentibacillus	UP000050331_1472767.fasta
Lentimicrobium	UP000053091_1678841.fasta
Lentisphaera	UP000004947_313628.fasta
Leptolinea	UP000050430_229920.fasta
Leptolyngbya	UP000010389_111781.fasta
Leptonema	UP000005737_929563.fasta
Leptospira	UP000001408_189518.fasta
Leptospirillum	UP000006177_1048260.fasta
Leptothrix	UP000001693_395495.fasta
Leptotrichia	UP000001910_523794.fasta
Leucobacter	UP000026917_1292023.fasta
Leuconostoc	UP000000362_203120.fasta
Levilinea	UP000050501_229921.fasta
Lewinella	UP000076582_1803372.fasta
Liberibacter	UP000010799_1215343.fasta
Limnobacter	UP000010322_391597.fasta
Limnochorda	UP000065807_1555112.fasta
Limnohabitans	UP000059510_1678128.fasta
Limnoraphis	UP000033607_1637645.fasta
Limnothrix	UP000093334_1880902.fasta
Listeria	UP000000817_169963.fasta
Litoreibacter	UP000015351_1123360.fasta
Loktanella	UP000004507_314232.fasta
Longilinea	UP000055060_360412.fasta
Luminiphilus	UP000004699_565045.fasta
Lunatimonas	UP000013909_1232681.fasta
Luteibacter	UP000033651_345309.fasta
Luteimonas	UP000035397_1547516.fasta
Luteipulveratus	UP000066480_571913.fasta
Lutibacter	UP000054346_1734397.fasta
