alignment model score count replica lf domain
NWSn natural 2810 13 0 100 0
NWSn natural 2820 25 0 100 0
NWSn natural 2830 21 0 100 0
NWSn natural 2840 26 0 100 0
NWSn natural 2850 18 0 100 0
NWSn natural 2860 20 0 100 0
NWSn natural 2870 25 0 100 0
NWSn natural 2880 32 0 100 0
NWSn natural 2890 16 0 100 0
NWSn natural 2900 27 0 100 0
NWSn natural 2910 17 0 100 0
NWSn natural 2920 19 0 100 0
NWSn natural 2930 14 0 100 0
NWSn natural 2940 18 0 100 0
NWSn natural 2950 14 0 100 0
NWSn natural 2960 12 0 100 0
NWSn natural 2970 18 0 100 0
NWSn natural 2980 21 0 100 0
NWSn natural 2990 16 0 100 0
NWSn natural 3000 17 0 100 0
NWSn natural 3010 11 0 100 0
NWSn natural 3020 12 0 100 0
NWSn natural 3030 13 0 100 0
NWSn natural 3040 15 0 100 0
NWSn natural 3050 13 0 100 0
NWSn natural 3060 16 0 100 0
NWSn natural 3070 14 0 100 0
NWSn natural 3080 20 0 100 0
NWSn natural 3090 11 0 100 0
NWSn natural 3100 19 0 100 0
NWSn natural 3110 8 0 100 0
NWSn natural 3120 21 0 100 0
NWSn natural 3130 7 0 100 0
NWSn natural 3140 15 0 100 0
NWSn natural 3150 17 0 100 0
NWSn natural 3160 18 0 100 0
NWSn natural 3170 13 0 100 0
NWSn natural 3180 17 0 100 0
NWSn natural 3190 10 0 100 0
NWSn natural 3200 22 0 100 0
NWSn natural 3210 10 0 100 0
NWSn natural 3220 8 0 100 0
NWSn natural 3230 15 0 100 0
NWSn natural 3240 12 0 100 0
NWSn natural 3250 9 0 100 0
NWSn natural 3260 22 0 100 0
NWSn natural 3270 7 0 100 0
NWSn natural 3280 15 0 100 0
NWSn natural 3290 10 0 100 0
NWSn natural 3300 17 0 100 0
NWSn natural 3310 6 0 100 0
NWSn natural 3320 8 0 100 0
NWSn natural 3330 5 0 100 0
NWSn natural 3340 12 0 100 0
NWSn natural 3350 11 0 100 0
NWSn natural 3360 8 0 100 0
NWSn natural 3370 3 0 100 0
NWSn natural 3380 20 0 100 0
NWSn natural 3390 8 0 100 0
NWSn natural 3400 13 0 100 0
NWSn natural 3410 6 0 100 0
NWSn natural 3420 13 0 100 0
NWSn natural 3430 8 0 100 0
NWSn natural 3440 16 0 100 0
NWSn natural 3450 8 0 100 0
NWSn natural 3460 10 0 100 0
NWSn natural 3470 7 0 100 0
NWSn natural 3480 21 0 100 0
NWSn natural 3490 9 0 100 0
NWSn natural 3500 21 0 100 0
NWSn natural 3510 5 0 100 0
NWSn natural 3520 12 0 100 0
NWSn natural 3530 5 0 100 0
NWSn natural 3540 17 0 100 0
NWSn natural 3550 9 0 100 0
NWSn natural 3560 8 0 100 0
NWSn natural 3570 6 0 100 0
